Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
China,CHN,2017,100,,56.07935055,5285311,,,,335560,,348750,0.417099071,3.93864467,7.463565017,9.18795E+11,64.40394583,12.67850328,0.086188352,119491100,645,619879237,6028.6,103.13,26.97999954,23.61000061,29.64999962,90.06735858,421.4677499,102.58,22.74231029,2143394.7,9424700.8,102822866,101.1,1.719524083,,,,582840458,42.04,-2.310812177,,9600010.8
Caribbean small states,CSS,2012,90.80347498,,4.970655798,20123.7,,,,2410,,1840,0.305248044,0.728438987,4.097046992,3188301135,,1.817957268,0.104062981,,,980340,4239.479164,0.14947174,12.31025605,5.246293256,17.37311568,1.353775202,83.51120383,0.154070147,90.38726442,365932.84,404850,231242,0.151640835,0.541188094,,,,3499683,49.48199848,0.590519836,,434990
East Asia & Pacific,EAS,2020,,,,,,,,,,,,,,1.61475E+12,,,,,,,,,,,,,,,27.14319557,6640831.4,24502428.8,,,,,,,924467848,39.3049755,-1.538282201,,
"Egypt, Arab Rep.",EGY,2013,99.79202756,,3.748023507,37309.7,,,,16090,,14630,2.009598629,2.873546473,11.2743496,32519069767,,2.720347581,0.030631533,2707970,,24123416,7285.3,93.69,27.95999908,42.86999893,24.12999916,43.97296465,500.92874,95.81,0.055560802,553.08,995450,3311233,101.58,1.027675925,,,,50485245,57.107,2.360805962,,1001450
Guinea,GIN,2018,19.6652011,,59.01025558,145000,,,,13440,,5960,,,22.32593095,2647192405,,12.61598567,0.249712187,3100000,,3911040,1186.7,115.67,61.31999969,62.66999817,59.66999817,,3.151151613,113.73,25.51277877,62690,245720,3295749,106.7,2.848770959,,,,7927767,63.86,2.291213939,,245860
St. Kitts and Nevis,KNA,2015,100,,23.07692308,60,,,,10,,0,0.054562694,1.751752549,1.029881405,9507407.407,,19.23076923,0.097648621,5000,,,,99.59,,,,,5.276,101.33,42.30769231,110,260,,105.46,0.384615385,,,,35419,69.173,0.921822363,,260
Libya,LBY,2019,,,,,,,,,,,,,,,,,,,,,,,16.40999985,15.89000034,16.64999962,,,,0.123327688,2170,1759540,,,,,,,1328855,19.607,-0.003461567,,
Sri Lanka,LKA,2015,93.14270123,,44.26994975,27400,,,,4330,,2310,2.482090358,2.19026334,8.184271461,6596856772,,21.00399076,0.061993324,1300000,,4016443,3735.5,94.76,28.65999985,32.33000183,26.84000015,2427.586945,307.1470769,94.01,34.39516585,21288.2,61893,1075198,94.44,16.15691597,,,,17141717,81.744,0.873336167,,65610
Mauritania,MRT,2019,,,,,,,,,,,0.014594106,0.230215064,18.69950882,1421284224,,,,,,,,,30.82999992,21.94000053,34.84999847,,,,0.308819249,3183,1030700,,,,,,,2058876,45.493,0.922706177,,
Nicaragua,NIC,2014,59.27268318,,42.08908094,50650,,,,7600,,3020,0.891477797,0.881501971,16.70898143,1985099523,,12.49792255,0.244842118,1504000,,838643,1914.3,94.55,31.44000053,9.31000042,44.91999817,,50.94215426,100.69,32.93712814,39636.54,120340,438100,105.21,2.376599634,,,,2598376,42.3,0.85544984,,130370
Solomon Islands,SLB,2011,31.05164806,,3.929974991,1100,,,,50,,20,50.43469316,0.691506254,,,,0.678813862,0.035086294,19000,,2777,2248.5,98.49,43.50999832,44.59000015,42.49000168,,,98.44,90.37327617,25295.48,27990,1235,97.66,2.965344766,,,,430467,79.492,1.978241689,,28900
Thailand,THA,2020,,,,,,,,,,,,,8.644852478,43379434199,,,,,,,,,,,,,,,38.89878447,198730,510890,,,,,,,33901849,48.57,-1.257862698,,
Timor-Leste,TLS,2010,20.57826481,,25.01681237,3720,,,,630,,210,,,25.60019432,225749400,,10.08742434,0.137172079,150000,,261816,2451.4,114.34,50.81999969,50.90999985,50.75999832,,,103.55,62.88500336,9351,14870,106803,90.55,4.841963685,14569.63867,0.655890414,97.91825867,790263,72.268,1.300778126,0.810603723,14870
Bangladesh,BGD,2016,66.14364753,59.71149234,70.63232696,91942.1,,,,58370,,25100,,,14.04554622,31098972568,,59.64669279,0.049147677,7764210,,54262297,4601,100.15,42.65999985,63.43000031,34.65000153,392.3759299,289.4022702,100.29,14.46877161,18834,130170,11793602,100.85,6.376277176,,,,102554027,64.917,-0.091473815,,147630
Bahrain,BHR,2015,100,,11.05398458,86,,,,20,,30,0.076256018,0.743965635,0.31623018,98191489.36,,2.05655527,0.001166306,1600,,,,99.99,1.080000043,0.050000001,1.350000024,0.791834683,1587.83125,98.49,0.771208226,6,778,,98.14,3.856041131,,,,150918,11.001,1.882191327,,778
East Asia & Pacific,EAS,2014,94.1843282,,47.96197149,11713929.9,,,,839350,,629300,1.236299667,2.047350326,5.163060396,1.34084E+12,,9.508189597,0.102441295,,,874687054,4955.385365,0.174922974,29.03453949,26.41013386,31.0578509,103.8739425,329.8619444,0.191510263,26.96477368,6575875.17,24423400.6,176513136,0.181945101,2.611897098,,,,1007842062,44.44755426,-1.288228684,,24862169.6
Eritrea,ERI,2012,22.80777285,,75.16831683,75920,,,,2890,,1550,,,,,94.50171821,6.831683168,0.212300899,690000,384,304057,689.4,100.4,66.09999847,72.16000366,60.84999847,,0.983608696,99.97,10.69841584,10805.4,101000,441076,99.66,0.01980198,,,,,,,,117600
Spain,ESP,2019,100,,,,,,,,,,1.030452027,1.057830199,2.614936711,36438895294,,,,,,,,,4.03000021,2.039999962,5.679999828,,,,37.16523359,185678.8,499603.479,,,,,,,9160400,19.435,-0.532725475,,
India,IND,2014,77.12022203,37.90096872,60.44719645,1797210,,,,487660,,212050,2.170947808,1.7876516,16.79193451,3.42409E+11,,52.62462204,0.120764825,156463000,,296010000,2960.4,101.17,45.88999939,58.66999817,42.54000092,154.5461136,163.4980794,99.49,23.73262388,705616,2973190,99988240,95.29,4.372408087,,,,876033415,67.616,0.583778817,,3287259
Lebanon,LBN,2013,99.98400389,,64.32062561,6580,,,,250,,530,0.594092946,0.974469128,3.953061054,1854354658,,12.90322581,0.022323633,132000,,178659,2981.4,99.55,13.40999985,12.72999954,13.61999989,34.4937875,209.0532576,101.46,13.60097752,1391.38,10230,59924,107.1,12.31671554,,,,721979,12.21,5.305762168,,10450
Libya,LBY,2012,,,8.726712664,153550,,,,1580,,1380,,,,,83.19039451,0.977528218,0.273634765,1720000,56,307527,679.3,99.56,20.02000046,21.70999908,19.25,214.1361,24.89954651,106.38,0.123327688,2170,1759540,452726,118.74,0.19039067,,,,1350682,21.488,-0.47632626,,1759540
Latin America & Caribbean,LCN,2010,84.96826339,,34.74053767,6962438.7,,,,673520,,322870,2.046976089,1.233194994,4.729371274,2.52178E+11,,7.155454659,0.24317671,,,187851851,3858.402982,0.165020587,15.4076057,8.217422032,20.19535639,223.1641329,125.4466416,0.173891097,47.90646086,9601309.6,20041784.4,48686322,0.163042748,1.174119599,18127126.26,0.943804833,176888.0296,126557872,21.45430634,-0.181937567,0.6789548,20425484.4
"Macao SAR, China",MAC,2017,100,,,,,,,,,,,,,,,,,,,,,100.57,0.400000006,0.119999997,0.670000017,,,113.37,,,30.8,,117.6,,,,,0,0,,,30.8
Monaco,MCO,2018,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.027,,,,,,,0,0,,,74.92
Northern Mariana Islands,MNP,2017,100,,6.52173913,30,,,,,,,,,,,,2.173913043,0.017682528,1000,,,,,,,,,,,52.95652174,243.6,460,,,2.173913043,,,,4790,8.47,-0.375078581,,460
Pakistan,PAK,2016,55.8100627,50.55443822,47.72986716,367940,,,,122760,,52950,1.020758683,3.825212952,23.21519879,64690228085,,40.20080946,0.152186778,30990000,,42555022,3020.7,102.95,42.27000046,73.23999786,34.09999847,119.0823036,144.5629558,103.34,5.017953508,38682.4,770880,14087724,103.49,1.042963885,,,,129847570,63.766,1.760663961,,796100
Thailand,THA,2011,98.98836968,,41.2221809,210600,,,,59610,,18980,7.051876081,1.920914799,11.59179178,42984582690,,30.84812778,0.233417926,15760000,,43393530,3259.2,102.37,41.00999832,39.20000076,42.56999969,2574.1045,163.3315038,102.96,39.28556049,200706,510890,13314312,87.14,8.808158312,,,,37339014,55.302,-1.031022351,,513120
Virgin Islands (U.S.),VIR,2011,100,,11.42857143,40,,,,,,,,,,,,2.857142857,0.009234463,1000,,,,,2.279999971,0.660000026,3.880000114,,,112.07,53.07428571,185.76,350,,112.07,2.857142857,,,,5673,5.239,-3.209017006,,350
Samoa,WSM,2019,99.02372252,,,,,,,,,,0.244432582,2.554745194,9.754449529,83132314.74,,,,,,,,,30.20999908,6.639999866,42.25999832,,,,57.29681979,1621.5,2830,,,,,,,161506,81.944,0.719584033,,
Kosovo,XKX,2014,100,,,,,,,,,,,,11.88863943,879367609.9,,,,,,,,,,,,,,,,,10887,,,,,,,,,,,10887
Kuwait,KWT,2014,100,,8.535353535,1521,,,,160,,270,0.061861033,0.595875632,0.450686941,732958538.3,,0.533108866,0.002573871,9500,,53636,21865.5,109.53,2.150000095,0.039999999,2.920000076,1.686018807,671.8873684,98.42,0.350729517,62.5,17820,2453,89.68,0.37037037,,,,0,0,,,17820
Albania,ALB,2010,100,17.02322484,43.84306569,12013,,,,2040,,1020,2.420053645,1.003346463,17.95584091,2141580308,,22.84671533,0.214897181,626000,,693800,4761.8,82.7,42.08000183,53.09000015,34.25999832,,85.02392971,85.65,28.54270073,7820.7,27400,145700,89.75,2.554744526,26686.71094,4.562271722,1294.595459,1393502,47.837,-2.743291493,4.688154109,28750
Bahrain,BHR,2012,100,,11.16883117,86,,,,20,,40,0.058894545,0.870051232,0.275737043,84787234.04,33.69493898,2.077922078,0.001230824,1600,83,,,104.89,1.090000033,0.050000001,1.360000014,1.655882745,3001.44375,81.21,0.716883117,5.52,770,,75.74,3.896103896,,,,146087,11.238,1.095742977,,770
"Congo, Dem. Rep.",COD,2012,,,13.57535123,307760,,,,12420,,12840,,,20.44106071,5990505456,10.51784669,5.062085089,0.166268842,11476000,1543,2643672,771.5,88.83,68.33999634,76.11000061,60.91999817,,0.456245207,89.23,59.53386471,1349662.48,2267050,3426558,97.87,0.48521206,,,,40665645,58.918,2.428580213,,2344860
Cyprus,CYP,2015,100,19.97158194,13.70995671,1266.8,,,,160,,230,1.264424285,0.5517028,1.874271799,371900588,,10.64718615,0.084738244,98380,,88127,2683,109.12,4,2.069999933,5.670000076,,157.9995934,103.13,18.69155844,1727.1,9240,32846,99.64,2.857142857,,,,383753,33.054,1.0088424,,9251
Jamaica,JAM,2020,,,,,,,,,,,,,8.68323599,1199365181,,,,,,,,,,,,,,,55.11449677,5968.9,10830,,,,,,,1293702,43.689,-0.307326128,,
Kazakhstan,KAZ,2011,99.5713394,,80.37504167,2169885,,,,13980,,8530,0.110297706,0.65861186,4.988974156,9610086700,,10.80883061,1.762411306,29180600,,26825598,1688.6,110.88,26.45000076,26.26000023,26.62999916,106.5948003,2.995551839,104.61,1.158437938,31274.349,2699700,15886231,94.19,0.043412231,,,,7136154,43.1,1.262278447,,2724902
Kyrgyz Republic,KGZ,2018,100,9.523493307,54.95985401,105413,,,,3640,,1790,2.336455699,0.486955538,11.67528648,965675343.8,,6.715328467,0.203707218,1288000,,1783480,3162.6,109.7,20.43000031,20.35000038,20.47999954,,21.24611801,108.05,6.667883212,12789,191800,563924,105.99,0.401459854,,,,4024399,63.649,1.651546975,,199950
Vanuatu,VUT,2019,54.42644254,,,,,,,,,,,,,,,,,,,,,,56.77999878,56.79000092,56.77999878,,,,36.28383921,4423,12190,,,,,,,223730,74.606,2.272075027,,
Chad,TCD,2017,4.099816766,,39.89675985,502380,,,,43840,,23480,,,48.61308641,4861500780,76.4211005,4.129606099,0.346279734,5200000,322,2716901,825.2,104.22,75.63999939,74.08000183,76.93000031,,,110.21,3.693614994,46510,1259200,3292418,113.98,0.030177891,,,,11584230,77.142,2.843149671,,1284000
Brunei Darussalam,BRN,2010,100,,2.542694497,134,,,,20,,100,0.013649357,0.168432517,0.733012306,100476714.3,,0.759013283,0.01029246,4000,,1072,580.1,87.7,0.689999998,0.560000002,0.779999971,,431.75,90.25,72.10626186,3800,5270,1848,90.72,1.138519924,4743.62207,0.119533858,6.885975838,97310,25.039,-0.174546992,0.536094073,5770
Canada,CAN,2012,100,,6.443636169,577710,,,,24610,,34530,3.636592942,0.985217046,1.811345744,33118038446,10.12483011,4.186450641,1.081228322,37534000,537,51839900,3458.7,85.19,1.75,1.110000014,2.329999924,30.08523837,108.1837406,89.98,38.73025757,3472396.1,8965590,14988396,98.92,0.019965223,,,,6548144,18.863,0.868694356,,9879750
Curacao,CUW,2014,100,,,,,,,,,,,,0.237251065,7493351.955,,,,,,,,,,,,,,,0.157657658,0.7,444,,,,,,,16459,10.557,2.304745103,,444
Europe & Central Asia (excluding high income),ECA,2019,99.98846957,,,,,,,,,,1.670110312,1.563208473,5.223018216,1.84846E+11,,,,,,,,,14.21276645,13.29790703,14.95368472,,,,39.41142874,8917436.5,22626524.3,,,,,,,136851924,32.82041099,-0.114831659,,
Israel,ISR,2015,100,38.73384529,24.67190388,5339,,,,590,,960,0.609326399,1.052832751,1.191712519,3576597401,,13.73382625,0.035464971,297200,,321736,4526.9,97.28,1.019999981,0.600000024,1.389999986,3.797096465,243.6069987,98.88,7.624768946,1650,21640,71073,100.01,4.46857671,,,,655408,7.821,1.026908389,,22070
St. Kitts and Nevis,KNA,2012,100,13.33333333,23.07692308,60,,,,10,,0,0.028048914,1.483409113,1.306729844,10459259.26,1.282051282,19.23076923,0.100238568,5000,1427,,,106.07,,,,,10.4,104.91,42.30769231,110,260,,102.16,0.384615385,,,,34387,68.938,1.058303744,,260
Madagascar,MDG,2019,,,,,,,,,,,2.258743948,3.090617298,23.21152681,3294159345,,,,,,,,,64.12000275,59.93999863,68.11000061,,,,21.38712616,124430.3,581800,,,,,,,16758457,62.139,1.583990177,,
Papua New Guinea,PNG,2012,27.60560969,,2.627743674,11900,,,,970,,3490,6.314596979,0.406522846,19.27395077,4104514878,0.25503698,0.662456388,0.039313312,300000,3142,15271,4191,93.9,63.16999817,67.22000122,59.27999878,,107.4688,95.26,79.7533443,361170.995,452860,3644,95.77,1.545731573,,,,6640346,87.018,2.123713222,,462840
Serbia,SRB,2016,100,1.244212963,39.51520695,34560,,,,3310,,3260,,,6.811151268,2771637495,,29.705008,0.368076152,2598000,,10888988,6167.9,109.11,18.61000061,16.17000008,20.52000046,346.4650669,139.6758314,106.6,31.10198948,27201.8,87460,1765433,100.79,2.332494855,,,,3119072,44.19,-0.781339552,,88360
South Sudan,SSD,2015,3.025468566,,45.15052473,285332,,,,25710,,21920,,,10.35501334,1242373869,,,,,,920000,733.9,99.96,61.79000092,75.66999817,48.79000092,,,99.18,11.32513372,71570,631957.218,1253626,98.92,,,,,8695541,81.148,1.233620075,,633907.382
Europe & Central Asia (IDA & IBRD countries),TEC,2017,99.96876342,,28.1964243,6482149.01,,,,186440,,175950,1.72436267,1.532200202,4.948208321,1.97863E+11,64.91316414,10.91257791,0.551123354,,,360382967,3242.049124,,14.58396886,13.7687668,15.2366576,33.63477269,52.85579163,,39.26058365,9025717.259,23000146,111159679,,0.395140618,,,,154021873,33.83598939,0.025619158,,23886776
Thailand,THA,2017,99.9,,43.27741784,221100,,,,51880,,18810,4.92035537,1.687667128,8.406412587,38363249047,90.37448086,32.90336472,0.242884619,16810000,1622,38015496,3211.6,106.21,31.45999908,28.48999977,33.93999863,843.6834991,166.528367,104.68,39.11018027,199810,510890,11836978,96.44,8.808158312,,,,35158587,50.8,-1.124259342,,513120
Zambia,ZMB,2019,13.9394425,,,,,,,,,,1.332662569,0.711465881,2.860718458,666795965.9,,,,,,,,,49.63999939,54.65999985,45.06000137,,,,60.53651515,450022.4,743390,,,,,,,9989319,55.928,1.912638346,,
Arab World,ARB,2015,77.57329309,,36.5832194,4785772.571,,,,121580,,84180,0.180016778,0.964759956,5.475127271,1.47729E+11,,4.458580926,0.147278912,,,54352426,2057.438839,,21.23943584,29.36674294,19.33548365,17.4900878,55.66312462,,2.905073453,380038.2,13081879.21,26417477,,0.655397591,,,,166207272,41.96853385,1.277103853,,13142335.69
Azerbaijan,AZE,2020,,,,,,,,,,,,,6.92578715,2950882353,,,,,,,,,,,,,,,13.69286423,11317.7,82654,,,,,,,4408314,43.603,0.016719807,,
Burkina Faso,BFA,2010,1.52984106,,44.15204678,120800,,,,12030,,8230,17.54574081,0.742518826,24.14338662,2440804393,,21.92982456,0.384486951,6000000,,4560546,1062.7,90.83,48.22000122,39.04999924,55.13999939,,9.4285,95.11,24.54861111,67165,273600,4291496,103.22,0.292397661,,,,11761179,75.367,2.286828516,,274220
"Congo, Rep.",COG,2013,10.39391478,,31.11859444,106270,,,,1490,,1880,0.937100086,0.281745184,4.260083078,764839039.1,,1.610541728,0.118976619,550000,,28120,830.9,98.34,35.61999893,35.86000061,35.40000153,,2.927490909,96.39,64.53587116,220390,341500,33843,91.62,0.225475842,,,,1635208,35.373,1.178573196,,342000
East Asia & Pacific,EAS,2016,94.92080929,,46.68822794,11439919.8,,,,824890,,619010,1.176490019,2.049005566,4.920731971,1.33527E+12,,9.494940258,0.101247009,,,932528967,5081.763575,,27.09645296,24.40198081,29.18105799,104.1074966,327.3992412,,27.04941174,6617999.125,24502823.4,183504923,,2.711475801,,,,980969754,42.67867903,-1.355426575,,24864844
Estonia,EST,2012,100,,22.55012975,9559,,,,660,,1170,4.019271166,1.854043706,3.290840701,763235106.8,0.275904353,14.63788629,0.46911762,620500,626,991200,3412,82.13,4.489999771,2.519999981,6.429999828,19054.54545,81.07010475,89.2,55.90979004,23700.16,42390,290500,95.06,0.160415192,,,,423607,32.026,-0.38593348,,45230
Indonesia,IDN,2019,97.52716915,,,,,,,,,,5.454534387,2.743277973,12.71270046,1.42267E+11,,,,,,,,,28.5,26.36000061,29.87999916,,,,49.39429641,927387.3,1877519,,,,,,,119115843,44.015,-0.390431636,,
Jamaica,JAM,2015,91.13657963,,40.99722992,4440,,,,340,,280,0.224951184,0.99751762,6.308335899,895085740.1,,11.08033241,0.041507784,120000,,2365,1143.1,97.79,17.75,7.929999828,25.12999916,,38.08175,97.87,53.32040628,5774.6,10830,2069,97.81,8.771929825,,,,1305789,45.167,0.001301903,,10990
St. Lucia,LCA,2014,96.81339218,,17.37704918,106,,,,20,,20,0.411092362,1.131710678,2.218760438,38942148.15,,4.918032787,0.016824914,3000,,,,95.48,12.05000019,5.71999979,16.93000031,,240.4,92.8,34.04918033,207.7,610,,89.76,11.47540984,,,,145352,81.518,0.42469935,,620
Monaco,MCO,2014,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.027,,,,,,,0,0,,,74.92
Montenegro,MNE,2012,100,,38.14126394,5130,,,,310,,120,6.514324692,0.768647219,7.452450544,304635744.6,1.056556868,12.78810409,0.277150697,172000,,4895,2638.8,91.48,5.28000021,4.710000038,5.730000019,,12.49087209,91.26,61.48698885,8270,13450,1855,91.33,1.26394052,,,,218427,35.196,-0.854746969,,13810
Norway,NOR,2018,100,,2.701385358,9862.97,,,,2510,,2630,0.719621013,1.228298968,1.862995582,8141284968,,2.19992531,0.151209093,803210,,678543,2430,70.3,2.109999895,1.090000033,3.00999999,16.40231645,203.8196736,96.35,33.31727872,121644,365107.85,279238,103.34,0.008416691,,,,942971,17.752,-1.441461278,,625221.59
"Korea, Dem. People's Rep.",PRK,2018,58.64540955,,21.8420397,26300,,,,3580,,1330,,,,,,19.51665144,0.091977935,2350000,,4211839,3564.3,94.86,44.54000092,48.02000046,41.38999939,,,95.56,50.43227307,60725.5,120410,1181676,101.14,1.910140354,,,,9734655,38.101,-0.108409364,,120540
Sub-Saharan Africa,SSF,2013,20.99619294,,42.22791537,10072592.7,,,,513530,,357300,2.897413425,1.24101996,15.1721131,2.77084E+11,,9.328444585,0.232249354,,,137309540,1329.264122,0.18082582,56.20827715,56.85446787,55.66361963,272.2819748,13.92560414,0.195174282,27.45692012,6549278.38,23852924.33,103297559,0.193158742,1.228071981,,,,588918185,62.44894312,1.919645973,,24287430.4
Sub-Saharan Africa,SSF,2017,24.00579187,,42.48324889,10133454.6,,,,545930,,378090,2.349834429,1.044483626,15.28291967,2.76631E+11,78.90234804,9.397051725,0.209966209,,,159444158,1457.61469,,53.87565987,53.93788399,53.86841212,369.5049972,20.40060336,,26.79560832,6391509.3,23852824.03,109386330,,1.251558944,,,,633827247,60.35514114,1.810689035,,24287425.64
Eswatini,SWZ,2015,59.09396581,,71.04651163,12220,,,,600,,370,4.032588913,2.234254364,9.355657868,380088653.2,,10.1744186,0.158509037,175000,,85002,1066.5,99.98,13.55000019,11.75,15.17000008,,,100.09,28.5755814,4915,17200,79701,100.44,0.872093023,,,,846797,76.7,0.623339134,,17360
Latin America & the Caribbean (IDA & IBRD countries),TLA,2012,85.82591692,,34.80587308,6931113.48,,,,664860,,322060,1.917171456,1.052749872,4.571071982,2.75505E+11,,7.122661501,0.241632294,,,209295490,3980.619507,0.168458284,14.70945232,7.780104978,19.41108056,249.7813005,143.9404104,0.178838928,47.71895252,9502576.6,19913632,52578288,0.169888429,1.144246313,,,,122844018,20.92744513,-0.212245122,,20289996
Timor-Leste,TLS,2019,92.34816178,,,,,,,,,,,,14.18536438,286250000,,,,,,,,,39.27999878,39.16999817,39.36999893,,,,62.03765972,9225,14870,,,,,,,892938,69.053,1.430664739,,
Tonga,TON,2015,100,,48.61111111,350,,,,60,,20,,,16.8686027,73716844.22,,27.77777778,0.198452074,20000,,,,101.98,22.73999977,2,35.86000061,,8.2725,101.73,12.43055556,89.5,720,,100.1,15.27777778,,,,77323,76.725,-0.171857982,,750
United States,USA,2010,100,,44.49251264,4069917,,,,199920,,173680,2.62252714,0.97140918,1.042481339,1.56289E+11,,17.24163753,0.509869578,157716500,,401126330,6978.1,89.38,1.419999957,0.74000001,2.019999981,119.5191881,115.7948915,92.42,33.74940694,3087200,9147420,57483702,96.32,0.295165194,8549545.51,0.980329212,91676.45777,59477423,19.228,-0.030001843,0.248613272,9831510
Zambia,ZMB,2012,5.171332583,,32.06392338,238360,,,,11320,,14330,3.76085636,0.547792186,9.321639536,2377303363,73.28244275,5.111717941,0.262700389,3800000,1020,3203354,2689.3,96.1,56.02999878,63.15999985,49.52999878,,37.62609737,97.35,62.30866705,463196.4,743390,1191141,97.72,0.048426802,,,,8627882,59.646,2.263138725,,752610
Zimbabwe,ZWE,2018,19.35834852,,41.87669639,162000,,,,6430,,4710,3.223297933,0.503378995,5.073999636,990628526.6,,10.33992504,0.277031102,4000000,,950627,579.1,93.8,66.01999664,69.54000092,62.40000153,345.4954955,38.35,103.73,45.33209254,175367.2,386850,1641701,103.89,0.258498126,,,,9788215,67.791,1.451688704,,390760
Burkina Faso,BFA,2016,,,44.2251462,121000,,,,13670,,9190,16.99461417,0.518677726,21.71471783,2786728644,,21.92982456,0.321778793,6000000,,4567066,1136.8,101.79,28.93000031,22.52000046,33.97999954,,21.77351667,101.21,23.45175439,64164,273600,4017586,100.09,0.365497076,,,,13400386,71.866,2.078276134,,274220
Burkina Faso,BFA,2017,,,44.2251462,121000,,,,13850,,9210,13.07901527,0.43793669,20.58558722,2903999902,51.43031785,21.92982456,0.31261013,6000000,748,4063197,1009,90.65,28.02000046,22.54999924,32.40000153,,18.17412,93.52,23.26900585,63664,273600,4026919,98.94,0.365497076,,,,13676524,71.257,2.039727383,,274220
"Bahamas, The",BHS,2016,100,,1.398601399,140,,,,10,,20,0.803971475,2.014269209,0.873538165,104200000,,0.799200799,0.021168333,8000,,841,8732.7,101.33,2.380000114,0.379999995,4.119999886,,189.88,100.29,50.93506494,5098.6,10010,96,98.01,0.3996004,,,,64882,17.168,0.491325556,,13880
"Congo, Dem. Rep.",COD,2020,,,,,,,,,,,,,20.33338435,10140049470,,,,,,,,,,,,,,,55.64731259,1261552.4,2267050,,,,,,,48687370,54.362,2.059541023,,
European Union,EUU,2011,100,,42.30540727,1691757.7,,,,216850,,169350,1.592367875,1.698249487,1.715639229,2.7027E+11,,25.38086822,0.230281687,,,273333537,5061.007648,0.143842231,5.601698493,4.677740521,6.361616046,86.17357826,138.017996,0.156583471,39.24614145,1569420.23,3998916,54007685,0.138252227,2.94697363,,,,118260977,26.83194227,-0.900788137,,4142412
